   1.9932500e+03   1.9544864e+04   3.5884437e+03   2.3467978e-01   9.9652284e+02   5.1243159e+07
   1.9935000e+03   1.9569276e+04   3.5957289e+03   2.3850660e-01   9.8596344e+02   5.1342708e+07
   1.9937500e+03   1.9671036e+04   3.5904986e+03   2.4250479e-01   9.6422561e+02   5.1541807e+07
   1.9940000e+03   1.9800271e+04   3.7112674e+03   2.4559290e-01   1.1141060e+03   5.1840455e+07
   1.9942500e+03   1.9730982e+04   3.8327396e+03   2.4812252e-01   1.0821991e+03   5.2238652e+07
   1.9945000e+03   1.9930104e+04   3.9439533e+03   2.4785875e-01   1.0482551e+03   5.2611138e+07
   1.9947500e+03   1.9917682e+04   3.9041836e+03   2.4632486e-01   9.1711707e+02   5.2957912e+07
   1.9950000e+03   2.0053532e+04   3.7510838e+03   2.4421136e-01   9.0440889e+02   5.3278974e+07
   1.9952500e+03   1.9081540e+04   2.7942012e+03   2.4107951e-01   1.6649856e+03   5.3574326e+07
   1.9955000e+03   1.8178085e+04   2.5257773e+03   2.3993415e-01   1.8277976e+03   5.3874055e+07
   1.9957500e+03   1.8396021e+04   2.5789814e+03   2.3997939e-01   1.6674972e+03   5.4178164e+07
   1.9960000e+03   1.8555259e+04   2.7505620e+03   2.4138253e-01   1.7099200e+03   5.4486651e+07
   1.9962500e+03   1.8908800e+04   2.9024362e+03   2.4245984e-01   1.7188385e+03   5.4799517e+07
   1.9965000e+03   1.9010546e+04   3.0540861e+03   2.4632433e-01   1.7013871e+03   5.5109896e+07
   1.9967500e+03   1.9183393e+04   3.1730952e+03   2.5054781e-01   1.6427771e+03   5.5417786e+07
   1.9970000e+03   1.9588232e+04   3.3510241e+03   2.5423934e-01   1.5944474e+03   5.5723189e+07
   1.9972500e+03   1.9588857e+04   3.2450722e+03   2.6355637e-01   1.7247373e+03   5.6026103e+07
   1.9975000e+03   1.9878078e+04   3.5005776e+03   2.6379343e-01   1.5092377e+03   5.6329155e+07
