Y,C,I,H,Deaths,Cases
0,0,0,0,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,0,0
NaN,NaN,NaN,NaN,3.20741333292535e-08,1.3278691198311e-05
NaN,NaN,NaN,NaN,4.81111999938803e-08,9.53082871878768e-05
NaN,NaN,NaN,NaN,3.04704266627908e-07,0.000322120521025693
-0.0164243826425567,-0.0201174879194438,-0.000297660955069112,-0.0210823423754493,1.71596613311506e-06,0.000453656541808962
NaN,NaN,NaN,NaN,4.87526826604653e-06,0.000444178635410167
NaN,NaN,NaN,NaN,8.22701519895352e-06,0.000319281960226054
NaN,NaN,NaN,NaN,1.13702802652204e-05,0.000201553853841029
NaN,NaN,NaN,NaN,1.39362109315606e-05,0.000142954412248483
NaN,NaN,NaN,NaN,1.60531037312914e-05,8.81397183887886e-05
NaN,NaN,NaN,NaN,1.71596613311506e-05,7.60638071903247e-05
NaN,NaN,NaN,NaN,1.84265895976561e-05,5.87437751925278e-05
NaN,NaN,NaN,NaN,1.90841093309058e-05,4.51603797275889e-05
NaN,NaN,NaN,NaN,1.95652213308446e-05,4.12794095947493e-05
NaN,NaN,NaN,NaN,1.99180367974664e-05,3.00213887961813e-05
NaN,NaN,NaN,NaN,2.01425557307712e-05,2.99412034628581e-05
NaN,NaN,NaN,NaN,2.03189634640821e-05,5.74126986593638e-05
-0.113513086662539,-0.133903532230342,-0.0701039487951903,-0.0976580906318651,2.06557418640393e-05,4.28831162612119e-05
NaN,NaN,NaN,NaN,2.08321495973501e-05,3.60192517287517e-05
NaN,NaN,NaN,NaN,2.1008557330661e-05,3.18977255959426e-05
NaN,NaN,NaN,NaN,2.10887426639842e-05,4.1119038928103e-05
NaN,NaN,NaN,NaN,2.11849650639719e-05,5.44779154597371e-05
NaN,NaN,NaN,NaN,2.12972245306243e-05,6.6682123191518e-05
NaN,NaN,NaN,NaN,2.13453357306182e-05,8.48360826558755e-05
NaN,NaN,NaN,NaN,2.14255210639413e-05,0.000111457613319156
NaN,NaN,NaN,NaN,2.15377805305937e-05,0.000138913071448997
NaN,NaN,NaN,NaN,2.17943735972278e-05,0.000127975791983721
NaN,NaN,NaN,NaN,2.18424847972216e-05,0.000124672156250808
NaN,NaN,NaN,NaN,2.18745589305509e-05,0.000138608367182369
NaN,NaN,NaN,NaN,2.20509666638618e-05,0.00017358520957792
-0.0318443494601232,-0.0374402578168198,-0.0231387781533423,-0.0324993560293706,2.21953002638434e-05,0.000183383857310007
NaN,NaN,NaN,NaN,2.23075597304958e-05,0.000222947300771641
NaN,NaN,NaN,NaN,2.2644338130453e-05,0.000367040344753312
NaN,NaN,NaN,NaN,2.3029227730404e-05,0.000584262412725682
NaN,NaN,NaN,NaN,2.38631551969646e-05,0.00102842501106918
NaN,NaN,NaN,NaN,2.53385653301103e-05,0.0015110284582078
NaN,NaN,NaN,NaN,2.73431986631886e-05,0.00170134032831692
NaN,NaN,NaN,NaN,3.00374258628459e-05,0.00169935173205051
NaN,NaN,NaN,NaN,3.37099141290454e-05,0.00167414146325372
NaN,NaN,NaN,NaN,3.83606634617872e-05,0.00156932319553372
NaN,NaN,NaN,NaN,4.37010066611079e-05,0.00161291194272817
NaN,NaN,NaN,NaN,5.01960186602817e-05,0.00194859982215214
NaN,NaN,NaN,NaN,5.83749226592414e-05,0.00216383329385809
NaN,NaN,NaN,NaN,6.71311610581276e-05,0.00169503776111772
-0.0229648630923617,-0.0604711183165522,0.00239769114607147,-0.0492061752283975,7.62562519903002e-05,0.00149696395074292
NaN,NaN,NaN,NaN,8.51087127891742e-05,0.00179518924243832
NaN,NaN,NaN,NaN,9.31753573214814e-05,0.00143645609821728
NaN,NaN,NaN,NaN,0.000101338224253776,0.00115037086598701
NaN,NaN,NaN,NaN,0.000108137940519578,0.000950805608412391
NaN,NaN,NaN,NaN,0.000114793323185398,0.000794299874832298
NaN,NaN,NaN,NaN,0.000119828962118091,0.000634314097785982
NaN,NaN,NaN,NaN,0.000123934451184236,0.00066810419724835
NaN,NaN,NaN,NaN,0.000127847495450404,0.000728772420440634
NaN,NaN,NaN,NaN,0.000131343575983293,0.000757975918836919
NaN,NaN,NaN,NaN,0.000134711359982865,0.00093451194868113
NaN,NaN,NaN,NaN,0.000138063106915772,0.00121833595451169
NaN,NaN,NaN,NaN,0.000141960114115276,0.00152985597447207
-0.0393970705901243,-0.103480541143864,-0.00495175306251328,-0.0533827070934579,0.000147075938381292,0.00146901134354648
NaN,NaN,NaN,NaN,0.000152352133313954,0.00160725085819556
NaN,NaN,NaN,NaN,0.000158622626379823,0.00191498613042308
NaN,NaN,NaN,NaN,0.000165294046112308,0.00193795120988683
NaN,NaN,NaN,NaN,0.000171692835711494,0.00167726869125332
NaN,NaN,NaN,NaN,0.000178412366643973,0.00135562928222756
NaN,NaN,NaN,NaN,0.000184137599443244,0.000946475600412942
NaN,NaN,NaN,NaN,0.000188772311709321,0.000700948109777506
NaN,NaN,NaN,NaN,0.000192188206908887,0.000398184328216018
